Equipe;NJogadores;MediaIdade;Posse;GolsPro;Assistencias;PenalConvertidos;PenalBatidos;CAmarelo;CVermelho;GolsSofridos;AssistenciasADV;PenalConvertidoADV;PenaltisADV;CAmareloADV;CVermelhoADV;ChuteADV;Defesas;JogosSemLevarGol;PenaltisSalvos;PenaltisADVFora;Finalizacoes;FinalizacoesNoGol;FinalizacoesADV;FinalizacoesNoGolADV;2Amarelo;Faltas;Impedimentos;Cruzamentos;Cortes;RoubosDeBola;2AmareloADV;FaltasADV;ImpedimentosADV;CruzamentosADV;CortesADV;RoubosDeBolaADV;VCasa;ECasa;DCasa;GPCasa;GCCasa;PtCasa;VFora;EFora;DFora;GPFora;GCFora;PtFora;V;E;D;Pt;Notas;Posicao
ABC;44;264;50.1;28;22;1;2;93;5;48;28;7;8;58;1;0;0;7;0;1;0;0;0;0;5;;0;0;0;0;1;0;0;0;0;0;7;4;8;17;17;25;2;3;14;11;32;9;9;7;22;34;Rebaixado;19
América (MG);34;273;51.8;45;33;7;7;60;2;25;18;4;4;97;10;0;0;21;0;0;0;0;0;0;1;;0;0;0;0;4;0;0;0;0;0;12;5;2;26;12;41;8;8;3;20;13;32;20;13;5;73;Promovido;1
Boa;39;270;49.3;39;26;5;8;100;5;41;26;8;8;89;3;0;0;12;0;0;0;0;0;0;4;;0;0;0;0;2;0;0;0;0;0;9;6;4;28;19;33;3;8;8;12;23;17;12;14;12;50;;10
Brasil (RS);31;292;46.1;43;22;3;3;112;5;49;40;2;3;101;7;0;0;10;1;0;0;0;0;0;3;;0;0;0;0;4;0;0;0;0;0;11;4;4;29;14;37;4;2;13;14;36;14;15;6;17;51;;8
CRB;34;288;49.9;35;23;4;5;106;4;47;30;3;4;103;4;0;0;9;1;0;0;0;0;0;2;;0;0;0;0;3;0;0;0;0;0;9;4;6;23;20;31;3;5;11;12;30;14;12;9;17;45;;15
Ceará;32;272;54.8;45;28;1;2;83;4;31;21;4;6;88;6;0;0;18;1;1;0;0;0;0;0;;0;0;0;0;3;0;0;0;0;0;11;5;3;26;14;38;8;5;6;20;18;29;19;10;9;67;Promovido;3
Criciúma;35;266;49.6;38;26;3;4;90;4;44;26;4;6;88;3;0;0;9;2;0;0;0;0;0;2;;0;0;0;0;2;0;0;0;0;0;8;5;6;25;23;29;4;7;8;16;23;19;12;12;14;48;;13
Figueirense;43;272;50.7;44;29;6;6;89;6;48;38;1;1;94;4;0;0;9;0;0;0;0;0;0;5;;0;0;0;0;2;0;0;0;0;0;9;4;6;28;21;31;3;8;8;16;28;17;12;12;14;48;;12
Goiás;37;265;51.1;34;25;0;2;86;7;45;35;3;7;106;2;0;0;8;4;0;0;0;0;0;4;;0;0;0;0;1;0;0;0;0;0;7;5;7;22;19;26;5;4;10;13;27;19;12;9;17;45;;14
Guarani;39;266;51.8;35;22;5;5;70;4;45;27;5;5;89;6;0;0;13;0;0;0;0;0;0;3;;0;0;0;0;2;0;0;0;0;0;9;6;4;22;16;33;2;5;12;14;30;11;11;11;16;44;;16
Internacional;37;264;56.0;53;37;7;10;102;1;26;20;1;1;111;6;0;0;19;0;0;0;0;0;0;0;;0;0;0;0;4;0;0;0;0;0;11;6;2;30;12;39;9;5;5;24;14;32;20;11;7;71;Promovido;2
Juventude;32;279;49.2;34;25;1;1;88;5;37;22;2;3;90;3;0;0;14;1;0;0;0;0;0;2;;0;0;0;0;3;0;0;0;0;0;11;5;3;22;10;38;2;7;10;13;28;13;13;12;13;51;;9
Londrina;43;252;47.9;54;39;5;7;86;6;46;30;5;6;91;3;0;0;11;0;1;0;0;0;0;4;;0;0;0;0;1;0;0;0;0;0;9;7;3;30;18;34;9;1;9;26;28;28;18;8;12;62;;5
Luverdense;31;262;56.1;38;29;1;1;90;5;40;28;3;3;63;2;0;0;14;0;0;0;0;0;0;1;;0;0;0;0;2;0;0;0;0;0;7;8;4;23;15;29;3;6;10;15;25;15;10;14;14;44;Rebaixado;17
Náutico;48;252;44.6;27;16;5;8;83;6;51;28;8;11;89;3;0;0;12;3;0;0;0;0;0;4;;0;0;0;0;2;0;0;0;0;0;5;4;10;18;22;19;3;4;12;11;29;13;8;8;22;32;Rebaixado;20
Oeste;36;264;47.4;42;25;7;9;78;4;28;19;4;5;74;4;0;0;18;0;1;0;0;0;0;4;;0;0;0;0;3;0;0;0;0;0;10;7;2;29;11;37;4;10;5;14;20;22;14;17;7;59;;6
Paraná;38;243;49.1;47;28;8;8;77;4;26;15;3;5;106;7;0;0;18;2;1;0;0;0;0;3;;0;0;0;0;4;0;0;0;0;0;14;3;2;33;9;45;4;7;8;16;19;19;18;10;10;64;Promovido;4
Paysandu;39;280;47.4;39;30;4;5;102;5;40;26;2;4;92;5;0;0;11;2;1;0;0;0;0;3;;0;0;0;0;2;0;0;0;0;0;7;6;6;19;15;27;6;3;10;22;26;21;13;9;16;48;;11
Santa Cruz;43;275;54.1;43;29;4;5;85;4;54;38;10;10;106;3;0;0;9;0;0;0;0;0;0;1;;0;0;0;0;3;0;0;0;0;0;6;7;6;26;21;25;2;6;11;17;33;12;8;13;17;37;Rebaixado;18
Vila Nova;34;272;43.9;38;20;5;5;82;3;30;19;3;3;80;7;0;0;14;0;0;0;0;0;0;2;;0;0;0;0;5;0;0;0;0;0;8;8;3;23;13;32;7;5;7;15;17;26;15;13;10;58;;7
